Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8121948,"Tempt Me at Twilight (The Hathaways, #3)",Lisa Kleypas,"Kleypas, Lisa",,"=""""","=""""",0,4.16,St. Martin's Press,Kindle Edition,385,2010,2009,,2019/01/12,historical-romance,historical-romance (#57),read,,,,1,0
8535546,Too Good to Be True,Kristan Higgins,"Higgins, Kristan",,"=""""","=""""",4,3.89,HQN Books,Kindle Edition,383,2010,2009,,2019/12/26,contemporary-romance,contemporary-romance (#97),read,,,,1,0
53130210,Hot Shot,Susan Elizabeth Phillips,"Phillips, Susan Elizabeth",,"=""""","=""""",4,3.74,Susan Elizabeth Phillips,Kindle Edition,500,2010,1991,,2019/12/17,contemporary-romance,contemporary-romance (#98),read,,,,1,0
6651364,"Heaven, Texas (Chicago Stars, #2)",Susan Elizabeth Phillips,"Phillips, Susan Elizabeth",,"=""""","=""""",4,4.05, HarperCollins e-books,Kindle Edition,384,2009,1995,,2019/12/22,contemporary-romance,contemporary-romance (#99),read,,,,1,0
8148206,"Smooth Talking Stranger (Travises, #3)",Lisa Kleypas,"Kleypas, Lisa",,"=""""","=""""",0,4.14,St. Martin's Press,Kindle Edition,381,2009,2009,,2019/02/28,contemporary-romance,contemporary-romance (#100),read,,,,1,0
8142860,Just the Sexiest Man Alive,Julie James,"James, Julie",,"=""""","=""""",4,3.92,Berkley,Kindle Edition,324,2008,2008,,2019/12/24,contemporary-romance,contemporary-romance (#101),read,,,,1,0
6450616,"Angels' Blood (Guild Hunter, #1)",Nalini Singh,"Singh, Nalini",,"=""""","=""""",0,4.08,Berkley Sensation,Kindle Edition,372,2009,2009,,2018/08/12,"asian, bipoc, urban-fantasy","asian (#57), bipoc (#67), urban-fantasy (#21)",read,,,,1,0
8129189,"At Grave's End (Night Huntress, #3)",Jeaniene Frost,"Frost, Jeaniene",,"=""""","=""""",0,4.29,HarperCollins e-books ,Kindle Edition,339,2009,2008,,2019/11/14,urban-fantasy,urban-fantasy (#22),read,,,,1,0
49610587,"Winter (Evermore Academy, #1)",Audrey Grey,"Grey, Audrey",,"=""""","=""""",0,4.12,Starfall Press,Kindle Edition,422,2019,2019,,2020/05/13,fantasy,fantasy (#39),read,,,,1,0
46141400,Lies,Kylie Scott,"Scott, Kylie",,"=""""","=""""",0,3.73,Kylie Scott,Kindle Edition,242,2019,2019,,2019/08/12,contemporary-romance,contemporary-romance (#5),read,,,,1,0
44582454,Regretting You,Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",4,4.16,Montlake Romance,Kindle Edition,363,2019,2019,,2019/08/28,contemporary-romance,contemporary-romance (#6),read,,,,1,0
45284491,The Vanishing (Fogg Lake #1),Jayne Ann Krentz,"Krentz, Jayne Ann",,"=""""","=""""",3,3.82,Berkley,Kindle Edition,322,2020,2020,,2019/12/24,romantic-suspense,romantic-suspense (#1),read,,,,1,0
44152046,Twice in a Blue Moon,Christina Lauren,"Lauren, Christina",,"=""""","=""""",0,3.63,Gallery Books,Kindle Edition,358,2019,2019,,2019/10/26,contemporary-romance,contemporary-romance (#8),read,,,,1,0
43696048,"The Mister (Mister & Missus, #1)",E.L. James,"James, E.L.",,"=""1984898337""","=""""",0,3.40,Bloom Books,Kindle Edition,514,2019,2019,,2019/03/05,contemporary-romance,contemporary-romance (#9),read,,,,1,0
